thesaurus,keyword,type
LTER controlled vocabulary,urban,theme
LTER controlled vocabulary,long term,theme
LTER controlled vocabulary,long term monitoring,theme
LTER controlled vocabulary,dissolved organic carbon,theme
LTER controlled vocabulary,dissolved oxygen,theme
LTER controlled vocabulary,conductivity,theme
LTER controlled vocabulary,water quality,theme
LTER controlled vocabulary,water temperature,theme
LTER controlled vocabulary,lakes,theme
LTER controlled vocabulary,carbon,theme
LTER controlled vocabulary,alkalinity,theme
LTER controlled vocabulary,bicarbonate,theme
LTER controlled vocabulary,turbidity,theme
LTER controlled vocabulary,sediments,theme
LTER controlled vocabulary,ph,theme
LTER controlled vocabulary,total dissolved nitrogen,theme
LTER core areas,movement of organic matter,theme
LTER core areas,movement of inorganic matter,theme
LTER core areas,water and fluxes,theme
LTER core areas,parks and rivers,theme
Creator Defined Keyword Set,time-series,theme
CAPLTER Keyword Set List,cap lter,theme
CAPLTER Keyword Set List,cap,theme
CAPLTER Keyword Set List,caplter,theme
CAPLTER Keyword Set List,central arizona phoenix long term ecological research,theme
CAPLTER Keyword Set List,arizona,place
CAPLTER Keyword Set List,az,place
CAPLTER Keyword Set List,tempe,place
CAPLTER Keyword Set List,arid land,theme
